SpectraSuite Datei
++++++++++++++++++++++++++++++++++++
Datum: Mon Nov 28 14:25:32 CET 2016
Benutzer: Admin
Dark-Spektrum vorhanden: Ja
Referenz-Spektrum vorhanden: Nein
Zahl der probierten Teilspektren: 1
Spektrometer: USB4F05832
Integrationszeit (usec): 20000 (USB4F05832)
Spektren Durchschnitt berechnet: 100 (USB4F05832)
Boxcar Glättung: 0 (USB4F05832)
Dunkelstromkorrektur: Nein (USB4F05832)
Puls/Lampe aktiviert: Nein (USB4F05832)
Correct for Detector Non-linearity: Nein (USB4F05832)
Streulichtkorrektur: Nein (USB4F05832)
Anzahl Pixel in verarbeitetem Spektrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
177,54	-2,74
177,75	-2,74
177,97	-2,74
178,19	-3,85
178,41	-1,64
178,63	6,35
178,85	4,44
179,07	-5,37
179,29	4,14
179,51	5,08
179,73	-0,78
179,95	2,74
180,17	-5,39
180,39	1,04
180,61	-0,66
180,83	2,01
181,05	-0,51
181,27	-4,30
181,49	21,03
181,71	30,76
181,92	29,08
182,14	28,06
182,36	34,61
182,58	31,07
182,80	20,56
183,02	28,75
183,24	25,64
183,46	26,38
183,68	27,42
183,90	26,05
184,12	18,12
184,34	33,05
184,56	30,70
184,78	31,50
185,00	30,47
185,21	25,80
185,43	29,92
185,65	27,28
185,87	22,61
186,09	27,77
186,31	29,96
186,53	31,46
186,75	27,24
186,97	34,24
187,19	43,15
187,41	29,12
187,63	31,64
187,84	37,72
188,06	23,29
188,28	26,66
188,50	25,21
188,72	36,09
188,94	31,60
189,16	37,31
189,38	25,56
189,60	26,87
189,82	27,61
190,03	32,30
190,25	31,93
190,47	27,89
190,69	33,44
190,91	35,76
191,13	29,55
191,35	32,46
191,57	25,13
191,79	33,75
192,01	23,16
192,22	28,71
192,44	32,07
192,66	29,86
192,88	31,50
193,10	31,83
193,32	32,09
193,54	42,27
193,76	21,81
193,98	31,19
194,19	41,47
194,41	22,92
194,63	27,03
194,85	36,43
195,07	30,41
195,29	22,38
195,51	41,02
195,73	32,73
195,94	40,73
196,16	29,63
196,38	38,13
196,60	26,07
196,82	32,64
197,04	40,92
197,26	29,04
197,48	32,03
197,69	33,87
197,91	38,01
198,13	37,09
198,35	15,93
198,57	33,10
198,79	24,47
199,01	32,07
199,22	26,52
199,44	23,76
199,66	32,71
199,88	33,93
200,10	29,84
200,32	30,94
200,54	35,98
200,75	32,85
200,97	32,85
201,19	34,61
201,41	26,66
201,63	27,42
201,85	29,37
202,06	32,24
202,28	36,43
202,50	26,36
202,72	40,37
202,94	35,02
203,16	31,56
203,38	30,37
203,59	34,16
203,81	26,71
204,03	26,54
204,25	37,44
204,47	39,91
204,69	30,64
204,90	29,90
205,12	19,97
205,34	37,68
205,56	35,10
205,78	38,34
206,00	35,00
206,21	38,03
206,43	37,81
206,65	22,22
206,87	36,54
207,09	24,82
207,30	36,33
207,52	36,72
207,74	32,60
207,96	32,24
208,18	35,63
208,40	26,21
208,61	38,54
208,83	16,92
209,05	34,90
209,27	22,61
209,49	31,11
209,70	28,12
209,92	32,99
210,14	33,73
210,36	31,11
210,58	41,18
210,79	44,44
211,01	33,16
211,23	31,03
211,45	38,71
211,67	34,22
211,88	16,26
212,10	40,55
212,32	43,70
212,54	37,64
212,76	30,02
212,97	35,76
213,19	36,54
213,41	37,03
213,63	25,80
213,85	29,51
214,06	31,85
214,28	31,07
214,50	34,94
214,72	36,27
214,94	37,97
215,15	35,92
215,37	34,20
215,59	34,00
215,81	35,51
216,02	27,32
216,24	40,30
216,46	38,50
216,68	31,97
216,90	36,72
217,11	36,27
217,33	33,05
217,55	43,89
217,77	46,08
217,98	36,02
218,20	28,02
218,42	25,97
218,64	46,73
218,85	39,14
219,07	32,30
219,29	29,59
219,51	34,55
219,73	41,90
219,94	35,02
220,16	35,06
220,38	35,00
220,60	32,32
220,81	40,69
221,03	40,57
221,25	30,29
221,47	31,99
221,68	43,79
221,90	33,40
222,12	36,29
222,34	29,49
222,55	31,95
222,77	33,20
222,99	38,95
223,21	40,90
223,42	35,31
223,64	39,73
223,86	35,20
224,08	28,92
224,29	38,09
224,51	39,03
224,73	38,17
224,94	38,50
225,16	40,53
225,38	36,00
225,60	40,88
225,81	34,82
226,03	35,74
226,25	36,78
226,47	43,01
226,68	37,21
226,90	33,05
227,12	35,39
227,33	41,10
227,55	36,11
227,77	32,58
227,99	42,88
228,20	42,56
228,42	33,55
228,64	32,17
228,86	29,80
229,07	37,31
229,29	40,71
229,51	42,07
229,72	29,76
229,94	29,12
230,16	43,09
230,38	37,68
230,59	40,30
230,81	40,71
231,03	39,83
231,24	44,32
231,46	34,14
231,68	47,68
231,89	38,91
232,11	43,74
232,33	35,74
232,55	37,35
232,76	42,41
232,98	41,29
233,20	42,99
233,41	38,54
233,63	37,38
233,85	36,11
234,06	51,01
234,28	36,27
234,50	23,39
234,71	40,16
234,93	36,43
235,15	38,07
235,37	51,75
235,58	39,55
235,80	41,96
236,02	41,59
236,23	29,98
236,45	44,99
236,67	39,40
236,88	40,02
237,10	45,61
237,32	42,43
237,53	33,79
237,75	33,42
237,97	43,64
238,18	44,15
238,40	41,90
238,62	38,17
238,83	47,02
239,05	39,18
239,27	41,02
239,48	36,90
239,70	45,26
239,92	40,82
240,13	44,79
240,35	35,02
240,57	39,61
240,78	40,32
241,00	42,33
241,22	39,79
241,43	38,95
241,65	36,99
241,87	56,01
242,08	44,01
242,30	36,31
242,52	31,27
242,73	37,85
242,95	38,95
243,16	46,82
243,38	35,33
