1,000	1,000	62,237	45,691
2,000	2,001	52,578	48,050
3,000	3,001	52,851	48,232
4,000	4,001	52,396	48,779
5,000	5,002	53,125	47,412
6,000	6,002	52,851	47,503
7,000	7,003	52,942	47,685
8,000	8,003	53,307	48,050
9,000	9,005	53,398	47,412
10,000	10,005	53,216	48,141
11,000	11,006	53,853	48,688
12,000	12,006	54,127	48,962
13,000	13,007	54,765	48,962
14,000	14,007	53,671	48,141
15,000	15,008	53,489	47,868
16,000	16,008	53,307	47,320
17,000	17,009	52,942	47,047
18,000	18,009	52,578	45,953
19,000	19,009	52,669	46,226
20,000	20,010	52,213	46,500
21,000	21,010	52,851	47,229
22,000	22,011	51,575	47,047
23,000	23,011	50,573	47,776
24,000	24,012	49,480	47,959
25,000	25,012	49,571	47,959
26,000	26,013	49,115	47,503
27,000	27,014	49,480	47,138
28,000	28,015	49,024	47,047
29,000	29,015	48,751	47,959
30,000	30,015	49,024	48,779
31,000	31,016	49,571	48,323
32,000	32,016	49,571	49,418
33,000	33,017	49,480	49,053
34,000	34,017	49,206	49,144
35,000	35,018	49,115	49,965
36,000	36,018	49,480	50,603
37,000	37,019	49,024	50,512
38,000	38,019	49,388	48,870
39,000	39,020	50,026	49,509
40,000	40,020	50,026	49,691
41,000	41,021	50,026	49,326
42,000	42,021	51,211	48,870
43,000	43,022	51,120	49,235
44,000	44,023	51,302	49,326
45,000	45,024	51,667	49,144
46,000	46,024	52,669	49,782
47,000	47,025	53,125	49,965
48,000	48,025	52,851	51,697
49,000	49,025	51,758	51,879
50,000	50,026	52,487	51,332
51,000	51,026	52,213	51,332
52,000	52,027	52,578	51,788
53,000	53,027	51,849	51,970
54,000	54,028	50,846	51,970
55,000	55,028	51,302	52,244
56,000	56,029	51,302	53,612
57,000	57,029	51,940	53,156
58,000	58,030	52,304	53,429
59,000	59,030	52,942	53,247
60,000	60,031	53,125	52,609
61,000	61,031	53,125	53,429
62,000	62,032	53,216	53,885
63,000	63,033	53,489	53,976
64,000	64,033	53,489	53,703
65,000	65,034	54,491	52,973
66,000	66,034	54,036	53,338
67,000	67,035	54,491	54,706
68,000	68,035	54,400	54,523
69,000	69,036	54,856	55,435
70,000	70,036	54,127	55,253
71,000	71,037	52,851	55,253
72,000	72,037	52,669	55,344
73,000	73,038	52,487	55,709
74,000	74,038	52,578	55,162
75,000	75,039	53,307	55,526
76,000	76,039	53,033	56,347
77,000	77,040	53,945	57,167
78,000	78,040	53,398	57,715
79,000	79,041	54,309	57,806
80,000	80,042	53,398	58,444
81,000	81,042	55,220	58,262
82,000	82,043	55,858	58,535
83,000	83,043	56,132	58,626
84,000	84,044	56,678	58,170
85,000	85,044	56,678	58,809
86,000	86,045	56,405	58,900
87,000	87,045	55,949	59,538
88,000	88,046	56,223	58,717
89,000	89,046	55,403	58,353
90,000	90,047	55,038	58,809
91,000	91,047	55,676	58,262
92,000	92,048	55,585	58,991
93,000	93,048	56,678	58,262
94,000	94,048	56,132	57,715
95,000	95,049	57,134	58,900
96,000	96,049	56,314	58,991
97,000	97,051	56,405	59,265
98,000	98,051	56,769	59,447
99,000	99,052	56,587	58,809
100,000	100,052	56,223	58,900
101,000	101,053	56,952	57,532
102,000	102,053	57,134	58,079
103,000	103,054	57,225	58,626
104,000	104,054	57,134	57,076
105,000	105,055	57,772	56,347
106,000	106,055	59,047	55,617
107,000	107,055	59,503	55,891
108,000	108,056	59,868	56,985
109,000	109,056	59,321	57,715
110,000	110,057	59,412	58,353
111,000	111,057	59,868	58,626
112,000	112,058	59,412	58,444
113,000	113,058	59,594	57,897
114,000	114,060	59,503	58,809
115,000	115,060	59,230	59,720
116,000	116,061	58,319	60,085
117,000	117,061	58,319	60,450
118,000	118,062	57,954	59,629
119,000	119,062	57,681	59,538
120,000	120,063	57,225	59,082
121,000	121,063	56,769	58,444
122,000	122,063	56,769	57,623
123,000	123,064	56,769	56,894
124,000	124,064	57,225	56,894
125,000	125,065	56,861	56,165
126,000	126,065	56,496	56,712
127,000	127,066	56,223	55,617
128,000	128,066	57,134	56,165
129,000	129,067	56,769	57,441
130,000	130,067	56,496	56,712
131,000	131,068	56,952	56,529
132,000	132,069	56,861	56,620
133,000	133,070	56,769	55,253
134,000	134,070	56,223	55,435
135,000	135,070	56,587	56,165
136,000	136,071	56,587	57,532
137,000	137,071	58,045	56,620
138,000	138,072	58,501	56,620
139,000	139,072	58,319	56,165
140,000	140,073	58,592	55,709
141,000	141,073	58,592	56,165
142,000	142,074	59,139	56,438
143,000	143,074	59,594	56,620
144,000	144,075	60,050	56,803
145,000	145,075	59,776	56,529
146,000	146,076	59,503	56,438
147,000	147,076	58,683	57,167
148,000	148,077	58,683	57,532
149,000	149,078	59,321	57,259
150,000	150,079	59,959	56,803
151,000	151,079	60,688	56,438
