SpectraSuite Datei
++++++++++++++++++++++++++++++++++++
Datum: Tue Dec 13 15:46:32 CET 2016
Benutzer: Admin
Dark-Spektrum vorhanden: Ja
Referenz-Spektrum vorhanden: Nein
Zahl der probierten Teilspektren: 1
Spektrometer: USB4F05832
Integrationszeit (usec): 80000 (USB4F05832)
Spektren Durchschnitt berechnet: 50 (USB4F05832)
Boxcar Glättung: 0 (USB4F05832)
Dunkelstromkorrektur: Nein (USB4F05832)
Puls/Lampe aktiviert: Nein (USB4F05832)
Correct for Detector Non-linearity: Nein (USB4F05832)
Streulichtkorrektur: Nein (USB4F05832)
Anzahl Pixel in verarbeitetem Spektrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
177,54	10,49
177,75	10,49
177,97	10,49
178,19	9,13
178,41	20,07
178,63	5,32
178,85	-1,02
179,07	3,44
179,29	3,36
179,51	5,86
179,73	6,39
179,95	11,39
180,17	6,64
180,39	-0,49
180,61	13,11
180,83	15,11
181,05	3,65
181,27	20,89
181,49	30,15
181,71	45,59
181,92	57,63
182,14	54,48
182,36	40,88
182,58	56,07
182,80	42,56
183,02	49,15
183,24	61,97
183,46	50,67
183,68	49,44
183,90	44,15
184,12	48,00
184,34	49,64
184,56	40,80
184,78	56,93
185,00	52,35
185,21	47,68
185,43	56,89
185,65	52,31
185,87	50,54
186,09	44,28
186,31	45,30
186,53	41,90
186,75	58,94
186,97	48,91
187,19	50,34
187,41	48,95
187,63	52,63
187,84	61,97
188,06	43,62
188,28	45,55
188,50	52,71
188,72	34,94
188,94	49,36
189,16	46,49
189,38	54,03
189,60	49,93
189,82	54,64
190,03	51,04
190,25	48,66
190,47	37,11
190,69	60,17
190,91	45,38
191,13	43,34
191,35	42,80
191,57	45,83
191,79	52,26
192,01	38,09
192,22	44,11
192,44	43,66
192,66	44,52
192,88	40,96
193,10	47,35
193,32	64,10
193,54	52,84
193,76	56,73
193,98	38,26
194,19	38,79
194,41	67,99
194,63	61,68
194,85	65,00
195,07	53,33
195,29	41,21
195,51	42,07
195,73	42,11
195,94	70,33
196,16	46,24
196,38	58,29
196,60	40,59
196,82	66,72
197,04	49,19
197,26	53,62
197,48	59,55
197,69	47,27
197,91	59,84
198,13	51,85
198,35	44,28
198,57	69,26
198,79	31,58
199,01	46,37
199,22	51,20
199,44	55,01
199,66	50,18
199,88	48,37
200,10	55,09
200,32	60,25
200,54	53,12
200,75	38,38
200,97	40,30
201,19	57,38
201,41	65,54
201,63	53,62
201,85	43,83
202,06	47,47
202,28	50,30
202,50	57,26
202,72	46,65
202,94	49,97
203,16	36,09
203,38	42,60
203,59	60,46
203,81	43,74
204,03	47,96
204,25	44,60
204,47	44,52
204,69	42,11
204,90	55,17
205,12	49,48
205,34	50,99
205,56	56,48
205,78	56,36
206,00	57,18
206,21	55,83
206,43	38,58
206,65	75,00
206,87	56,48
207,09	38,22
207,30	44,77
207,52	55,09
207,74	61,07
207,96	59,88
208,18	44,15
208,40	56,85
208,61	51,61
208,83	51,32
209,05	57,47
209,27	48,70
209,49	42,43
209,70	47,59
209,92	31,91
210,14	50,71
210,36	31,01
210,58	47,02
210,79	49,81
211,01	61,56
211,23	44,97
211,45	55,13
211,67	53,33
211,88	62,79
212,10	50,34
212,32	50,95
212,54	39,48
212,76	52,59
212,97	49,48
213,19	40,30
213,41	51,40
213,63	54,11
213,85	46,69
214,06	29,74
214,28	60,62
214,50	43,87
214,72	58,61
214,94	49,11
215,15	51,69
215,37	41,49
215,59	40,59
215,81	51,61
216,02	44,07
216,24	43,05
216,46	48,74
216,68	47,72
216,90	44,56
217,11	29,82
217,33	63,08
217,55	51,04
217,77	63,94
217,98	33,10
218,20	47,43
218,42	50,22
218,64	52,31
218,85	44,77
219,07	54,31
219,29	59,60
219,51	65,29
219,73	36,95
219,94	41,41
220,16	43,79
220,38	50,09
220,60	30,88
220,81	55,70
221,03	55,58
221,25	42,35
221,47	51,85
221,68	56,20
221,90	53,53
222,12	46,08
222,34	34,16
222,55	51,77
222,77	39,65
222,99	41,70
223,21	46,98
223,42	43,34
223,64	53,17
223,86	51,32
224,08	51,77
224,29	42,76
224,51	60,50
224,73	54,76
224,94	48,95
225,16	43,70
225,38	50,34
225,60	70,82
225,81	52,43
226,03	32,07
226,25	50,87
226,47	45,59
226,68	40,02
226,90	60,54
227,12	68,03
227,33	45,18
227,55	61,81
227,77	57,06
227,99	64,43
228,20	72,17
228,42	70,12
228,64	68,40
228,86	65,17
229,07	73,89
229,29	57,18
229,51	50,87
229,72	62,05
229,94	57,83
230,16	54,72
230,38	42,72
230,59	45,59
230,81	46,94
231,03	59,27
231,24	46,28
231,46	58,29
231,68	42,47
231,89	47,51
232,11	46,78
232,33	44,93
232,55	52,06
232,76	50,34
232,98	53,33
233,20	39,53
233,41	59,88
233,63	58,24
233,85	52,26
234,06	51,36
234,28	38,54
234,50	48,62
234,71	44,93
234,93	68,98
235,15	54,15
235,37	61,07
235,58	54,84
235,80	30,31
236,02	46,49
236,23	42,60
236,45	58,08
236,67	51,20
236,88	51,24
237,10	55,54
237,32	30,92
237,53	39,73
237,75	48,86
237,97	50,34
238,18	58,65
238,40	56,16
238,62	44,69
238,83	55,01
239,05	43,50
239,27	42,60
239,48	53,41
239,70	48,91
239,92	48,41
240,13	43,34
240,35	41,90
240,57	50,79
240,78	52,63
241,00	45,01
241,22	41,29
241,43	46,41
241,65	59,96
241,87	56,20
242,08	58,61
242,30	62,63
242,52	63,41
242,73	66,80
242,95	44,03
243,16	62,34
243,38	60,62
243,60	51,16
